team,season,role,position,shirt_number,full_name,country,is_overseas,birthdate
Real Madrid,2024/2025,Player,Goalkeeper,1.0,Thibaut Courtois,Belgium,1,1992-05-11
Real Madrid,2024/2025,Player,Goalkeeper,13.0,Andriy Lunin,Ukraine,1,1999-02-11
Real Madrid,2024/2025,Player,Defender,2.0,Dani Carvajal,Spain,0,1992-01-11
Real Madrid,2024/2025,Player,Defender,3.0,Éder Militão,Brazil,1,1998-01-18
Real Madrid,2024/2025,Player,Defender,4.0,David Alaba,Austria,1,1992-06-24
Real Madrid,2024/2025,Player,Defender,17.0,Lucas Vázquez,Spain,0,1991-07-01
Real Madrid,2024/2025,Player,Defender,18.0,Jesús Vallejo,Spain,0,1997-01-05
Real Madrid,2024/2025,Player,Defender,20.0,Fran García,Spain,0,1999-08-14
Real Madrid,2024/2025,Player,Defender,22.0,Antonio Rüdiger,Germany,1,1993-03-03
Real Madrid,2024/2025,Player,Defender,23.0,Ferland Mendy,France,1,1995-06-08
Real Madrid,2024/2025,Player,Defender,35.0,Raúl Asencio,Spain,0,2003-02-13
Real Madrid,2024/2025,Player,Midfielder,5.0,Jude Bellingham,England,1,2003-06-29
Real Madrid,2024/2025,Player,Midfielder,6.0,Eduardo Camavinga,France,1,2002-11-10
Real Madrid,2024/2025,Player,Midfielder,8.0,Federico Valverde,Uruguay,1,1998-07-22
Real Madrid,2024/2025,Player,Midfielder,10.0,Luka Modrić,Croatia,1,1985-09-09
Real Madrid,2024/2025,Player,Midfielder,14.0,Aurélien Tchouaméni,France,1,2000-01-27
Real Madrid,2024/2025,Player,Midfielder,15.0,Arda Güler,Turkey,1,2005-02-25
Real Madrid,2024/2025,Player,Midfielder,19.0,Dani Ceballos,Spain,0,1996-08-07
Real Madrid,2024/2025,Player,Midfielder,36.0,Chema Andrés,Spain,0,2005-04-25
Real Madrid,2024/2025,Player,Forward,7.0,Vinícius Júnior,Brazil,1,2000-07-12
Real Madrid,2024/2025,Player,Forward,9.0,Kylian Mbappé,France,1,1998-12-20
Real Madrid,2024/2025,Player,Forward,11.0,Rodrygo,Brazil,1,2001-01-09
Real Madrid,2024/2025,Player,Forward,16.0,Endrick,Brazil,1,2006-07-21
Real Madrid,2024/2025,Player,Forward,21.0,Brahim Díaz,Morocco,1,1999-08-03
Real Madrid,2024/2025,Player,Forward,30.0,Gonzalo García,Spain,0,2004-03-24
Real Madrid,2024/2025,Player,Forward,42.0,Daniel Yáñez,Spain,0,2007-03-28
Real Madrid,2023/2024,Player,Goalkeeper,1.0,Thibaut Courtois,Belgium,1,1992-05-11
Real Madrid,2023/2024,Player,Goalkeeper,13.0,Andriy Lunin,Ukraine,1,1999-02-11
Real Madrid,2023/2024,Player,Goalkeeper,25.0,Kepa Arrizabalaga,Spain,0,1994-10-03
Real Madrid,2023/2024,Player,Defender,2.0,Dani Carvajal,Spain,0,1992-01-11
Real Madrid,2023/2024,Player,Defender,3.0,Éder Militão,Brazil,1,1998-01-18
Real Madrid,2023/2024,Player,Defender,4.0,David Alaba,Austria,1,1992-06-24
Real Madrid,2023/2024,Player,Defender,6.0,Nacho Fernández,Spain,0,1990-01-18
Real Madrid,2023/2024,Player,Defender,15.0,Álvaro Odriozola,Spain,0,1995-12-14
Real Madrid,2023/2024,Player,Defender,17.0,Lucas Vázquez,Spain,0,1991-07-01
Real Madrid,2023/2024,Player,Defender,20.0,Fran García,Spain,0,1999-08-14
Real Madrid,2023/2024,Player,Defender,22.0,Antonio Rüdiger,Germany,1,1993-03-03
Real Madrid,2023/2024,Player,Defender,23.0,Ferland Mendy,France,1,1995-06-08
Real Madrid,2023/2024,Player,Midfielder,5.0,Jude Bellingham,England,1,2003-06-29
Real Madrid,2023/2024,Player,Midfielder,8.0,Toni Kroos,Germany,1,1990-01-04
Real Madrid,2023/2024,Player,Midfielder,10.0,Luka Modrić,Croatia,1,1985-09-09
Real Madrid,2023/2024,Player,Midfielder,12.0,Eduardo Camavinga,France,1,2002-11-10
Real Madrid,2023/2024,Player,Midfielder,14.0,Federico Valverde,Uruguay,1,1998-07-22
Real Madrid,2023/2024,Player,Midfielder,18.0,Aurélien Tchouaméni,France,1,2000-01-27
Real Madrid,2023/2024,Player,Midfielder,19.0,Dani Ceballos,Spain,0,1996-08-07
Real Madrid,2023/2024,Player,Midfielder,21.0,Brahim Díaz,Morocco,1,1999-08-03
Real Madrid,2023/2024,Player,Midfielder,24.0,Arda Güler,Turkey,1,2005-02-25
Real Madrid,2023/2024,Player,Forward,7.0,Vinícius Júnior,Brazil,1,2000-07-12
Real Madrid,2023/2024,Player,Forward,11.0,Rodrygo,Brazil,1,2001-01-09
Real Madrid,2023/2024,Player,Forward,14.0,Joselu,Spain,0,1990-03-27
Real Madrid,2023/2024,Player,Forward,16.0,Álvaro Rodríguez,Uruguay,1,2004-07-14
Real Madrid,2023/2024,Player,Forward,33.0,Gonzalo García,Spain,0,2004-03-24
Real Madrid,2023/2024,Player,Midfielder,28.0,Mario Martín,Spain,0,2004-03-05
Real Madrid,2022/2023,Player,Goalkeeper,1.0,Thibaut Courtois,Belgium,1,1992-05-11
Real Madrid,2022/2023,Player,Defender,2.0,Dani Carvajal,Spain,0,1992-01-11
Real Madrid,2022/2023,Player,Defender,3.0,Eder Militão,Brazil,1,1998-01-18
Real Madrid,2022/2023,Player,Defender,4.0,David Alaba,Austria,1,1992-06-24
Real Madrid,2022/2023,Player,Defender,5.0,Jesús Vallejo,Spain,0,1997-01-05
