Player_Name1,Player_Name2,Number_of_years_played_together
Jude Bellingham,Mesut Özil,0
Jude Bellingham,Pepe,0
Jude Bellingham,Raphaël Varane,0
Jude Bellingham,Morientes,0
Jude Bellingham,Steve McManaman,0
Jude Bellingham,Guti,0
Jude Bellingham,Chendo,0
Jude Bellingham,Gordillo,0
Jude Bellingham,Quincoces,0
Jude Bellingham,Juanito,0
Jude Bellingham,David Beckham,0
Jude Bellingham,Nacho,0
Jude Bellingham,Héctor Rial,0
Jude Bellingham,Vinicius Jr,0
Jude Bellingham,Zárraga,0
Jude Bellingham,Amancio,0
Jude Bellingham,Marquitos,0
Jude Bellingham,Thibaut Courtois,2
Jude Bellingham,Gareth Bale,0
Jude Bellingham,Manolín,0
Jude Bellingham,Claude Makelele,0
Jude Bellingham,Fernando Redondo,0
Jude Bellingham,Vicente Del Bosque,0
Jude Bellingham,Santillana,0
Jude Bellingham,Miguel Muñoz,0
Jude Bellingham,Iván Zamorano,0
Jude Bellingham,Iker Casillas,0
Jude Bellingham,Marcelo,0
Jude Bellingham,José Santamaría,0
Jude Bellingham,Camacho,0
Jude Bellingham,Karim Benzema,0
Jude Bellingham,Casemiro,0
Jude Bellingham,Roberto Carlos,0
Jude Bellingham,Gento,0
Jude Bellingham,Ronaldo,0
Jude Bellingham,Santiago Bernabéu,0
Jude Bellingham,Luís Figo,0
Jude Bellingham,Sergio Ramos,0
Jude Bellingham,Luka Modrić,2
Jude Bellingham,Ricardo Zamora,0
Jude Bellingham,Butragueño,0
Jude Bellingham,Pirri,0
Jude Bellingham,Toni Kroos,1
Jude Bellingham,Hugo Sánchez,0
Jude Bellingham,Raymond Kopa,0
Jude Bellingham,Ferenc Puskás,0
Jude Bellingham,Raúl,0
Jude Bellingham,Zinédine Zidane,0
Jude Bellingham,Cristiano Ronaldo,0
Jude Bellingham,Alfredo Di Stéfano,0
Mesut Özil,Pepe,3
Mesut Özil,Raphaël Varane,2
Mesut Özil,Morientes,0
Mesut Özil,Steve McManaman,0
Mesut Özil,Guti,0
Mesut Özil,Chendo,0
Mesut Özil,Gordillo,0
Mesut Özil,Quincoces,0
Mesut Özil,Juanito,0
Mesut Özil,David Beckham,0
Mesut Özil,Nacho,3
Mesut Özil,Héctor Rial,0
Mesut Özil,Vinicius Jr,0
Mesut Özil,Zárraga,0
Mesut Özil,Amancio,0
Mesut Özil,Marquitos,0
Mesut Özil,Thibaut Courtois,0
Mesut Özil,Gareth Bale,0
Mesut Özil,Manolín,0
Mesut Özil,Claude Makelele,0
Mesut Özil,Fernando Redondo,0
Mesut Özil,Vicente Del Bosque,0
Mesut Özil,Santillana,0
Mesut Özil,Miguel Muñoz,0
Mesut Özil,Iván Zamorano,0
Mesut Özil,Iker Casillas,3
Mesut Özil,Marcelo,3
Mesut Özil,José Santamaría,0
Mesut Özil,Camacho,0
Mesut Özil,Karim Benzema,3
Mesut Özil,Casemiro,1
Mesut Özil,Roberto Carlos,0
Mesut Özil,Gento,0
Mesut Özil,Ronaldo,0
Mesut Özil,Santiago Bernabéu,0
Mesut Özil,Luís Figo,0
Mesut Özil,Sergio Ramos,3
Mesut Özil,Luka Modrić,1
Mesut Özil,Ricardo Zamora,0
Mesut Özil,Butragueño,0
Mesut Özil,Pirri,0
Mesut Özil,Toni Kroos,0
Mesut Özil,Hugo Sánchez,0
Mesut Özil,Raymond Kopa,0
Mesut Özil,Ferenc Puskás,0
Mesut Özil,Raúl,0
Mesut Özil,Zinédine Zidane,0
Mesut Özil,Cristiano Ronaldo,3
Mesut Özil,Alfredo Di Stéfano,0
Pepe,Raphaël Varane,6
Pepe,Morientes,0
Pepe,Steve McManaman,0
Pepe,Guti,3
Pepe,Chendo,0
Pepe,Gordillo,0
Pepe,Quincoces,0
Pepe,Juanito,0
Pepe,David Beckham,0
Pepe,Nacho,7
Pepe,Héctor Rial,0
Pepe,Vinicius Jr,0
Pepe,Zárraga,0
Pepe,Amancio,0
Pepe,Marquitos,0
Pepe,Thibaut Courtois,0
Pepe,Gareth Bale,4
Pepe,Manolín,0
Pepe,Claude Makelele,0
Pepe,Fernando Redondo,0
Pepe,Vicente Del Bosque,0
Pepe,Santillana,0
Pepe,Miguel Muñoz,0
Pepe,Iván Zamorano,0
Pepe,Iker Casillas,8
Pepe,Marcelo,10
Pepe,José Santamaría,0
Pepe,Camacho,0
Pepe,Karim Benzema,8
Pepe,Casemiro,4
Pepe,Roberto Carlos,0
Pepe,Gento,0
Pepe,Ronaldo,0
Pepe,Santiago Bernabéu,0
Pepe,Luís Figo,0
Pepe,Sergio Ramos,10
Pepe,Luka Modrić,5
Pepe,Ricardo Zamora,0
Pepe,Butragueño,0
Pepe,Pirri,0
Pepe,Toni Kroos,3
Pepe,Hugo Sánchez,0
Pepe,Raymond Kopa,0
Pepe,Ferenc Puskás,0
Pepe,Raúl,3
Pepe,Zinédine Zidane,0
Pepe,Cristiano Ronaldo,8
Pepe,Alfredo Di Stéfano,0
Raphaël Varane,Morientes,0
Raphaël Varane,Steve McManaman,0
Raphaël Varane,Guti,0
Raphaël Varane,Chendo,0
Raphaël Varane,Gordillo,0
Raphaël Varane,Quincoces,0
Raphaël Varane,Juanito,0
Raphaël Varane,David Beckham,0
Raphaël Varane,Nacho,10
Raphaël Varane,Héctor Rial,0
Raphaël Varane,Vinicius Jr,0
Raphaël Varane,Zárraga,0
Raphaël Varane,Amancio,0
Raphaël Varane,Marquitos,0
Raphaël Varane,Thibaut Courtois,3
Raphaël Varane,Gareth Bale,7
Raphaël Varane,Manolín,0
Raphaël Varane,Claude Makelele,0
Raphaël Varane,Fernando Redondo,0
Raphaël Varane,Vicente Del Bosque,0
Raphaël Varane,Santillana,0
